URLSimilarityIndex,NoOfExternalRef,LineOfCode,NoOfSelfRef,NoOfImage,NoOfJS,HasSocialNet,NoOfCSS,HasCopyrightInfo,IsHTTPS,LargestLineLength,HasDescription,label
1,124,558,119,34,28,0,20,1,1,9381,0,1
1,217,618,39,50,8,1,9,1,1,9381,0,1
1,5,467,42,10,7,0,2,1,1,682,1,1
1,31,6356,22,3,15,1,27,1,1,26824,0,1
1,85,6089,72,244,34,1,15,1,1,28404,1,1
1,14,1210,86,35,11,1,1,1,1,737,1,1
1,17,1024,44,32,14,1,4,1,1,984,0,1
1,15,514,36,24,22,1,2,1,1,399,1,1
1,317,2371,40,71,9,1,4,1,1,12913,1,1
1,65,2730,173,10,12,1,1,1,1,481,1,1
1,9,2616,376,80,10,1,13,1,1,584,1,1
0,1,2,0,0,0,0,0,0,0,87,0,0
1,18,1043,92,16,13,0,9,1,1,1037,1,1
1,14,5966,4,16,7,1,4,0,1,22382,0,1
1,184,2639,156,63,22,1,12,1,1,1574,0,1
1,14,5509,2,12,19,0,14,1,1,550,0,1
1,254,2839,235,56,16,1,10,1,1,8047,0,1
1,143,1576,0,52,27,1,10,1,1,1907,1,1
1,90,5004,168,259,33,1,14,1,1,13844,1,1
1,1,719,2,21,2,0,0,0,1,1842,1,1
0,0,9,0,0,0,0,0,0,0,44,0,0
0,0,20,0,0,0,0,0,0,0,211,0,0
1,39,2412,111,49,4,1,2,1,1,17815,1,1
1,93,11406,609,217,10,1,4,1,1,467,1,1
1,7,407,2,37,21,0,10,1,1,1497,1,1
1,4,317,2,14,4,0,2,1,1,191,0,1
1,17,795,23,10,6,1,3,1,1,3398,1,1
0,0,16,0,0,0,0,0,0,1,113,0,0
0,1,43,1,1,0,0,0,0,0,283,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,59,1465,45,13,29,1,17,1,1,1501,1,1
0,2,105,0,0,6,0,5,0,1,1607,0,0
0,1,13,1,0,0,0,0,0,0,119,0,0
1,13,1331,49,15,17,1,29,1,1,343,0,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,23,2625,137,64,20,1,69,1,1,3976,1,1
1,9,3188,93,85,20,1,3,1,1,2683,1,1
0,1,2,1,0,0,0,0,0,0,179,0,0
1,4,229,7,3,8,1,4,1,1,171,0,1
0,1,2,1,0,1,0,0,0,0,2826,0,0
0,0,8,0,0,0,0,0,0,0,41,0,0
0,1,2,1,0,1,0,1,0,1,3306,0,0
1,369,2262,266,2,24,1,11,0,1,739,1,1
1,283,3051,71,56,18,1,1,1,1,1021,1,1
0,3,108,0,0,0,0,0,0,1,8125,0,0
0,0,11,0,0,0,0,0,0,1,148,0,0
1,21,325,21,1,1,0,1,1,1,569,1,1
1,84,567,83,9,20,1,10,1,1,1820,0,1
1,12,301,39,23,5,1,1,1,1,263,0,1
0,0,2,0,0,0,0,0,0,0,30,0,0
0,3,141,0,4,0,0,0,0,1,161,0,0
1,40,5194,139,42,53,1,26,1,1,2716,1,1
0,0,98,0,0,0,0,0,0,1,292,0,0
1,124,3176,260,180,7,1,3,0,1,3960,0,1
0,0,2,0,0,0,0,0,0,0,479,0,0
1,91,3394,142,15,8,1,4,0,1,7250,1,1
1,417,3304,403,3,50,1,8,1,1,25182,1,1
0,2,90,2,0,0,0,2,0,1,394,0,0
1,10,533,1,1,3,0,1,1,1,234,0,1
0,1,36,0,0,2,0,0,0,1,247,0,0
0,0,2,0,0,0,0,0,0,0,39,0,0
1,11,812,22,9,5,1,6,1,1,1057,1,1
1,297,1990,268,49,29,1,26,1,1,16389,1,1
1,159,1138,143,18,19,1,16,0,1,9530,1,1
1,67,801,66,23,9,1,2,1,1,484,1,1
1,24,1103,34,31,8,1,13,1,1,556,1,1
1,444,4328,406,216,10,1,5,1,1,2624,1,1
1,442,3659,433,63,7,1,5,1,1,659,1,1
0,0,9,0,0,0,0,0,0,0,42,0,0
0,0,2,0,0,0,0,0,0,0,32,0,0
1,43,2193,347,39,9,1,1,1,1,9477,1,1
0,1,11,0,0,0,0,0,0,0,74,0,0
0,0,9,0,0,0,0,0,0,0,44,0,0
0,2,16,0,0,0,0,0,0,1,110,0,0
1,48,662,71,65,11,1,6,1,1,377,1,1
1,167,3570,133,19,29,1,13,1,1,1902,1,1
1,726,7483,721,82,10,0,6,1,1,7543,1,1
0,0,3,0,0,0,0,0,0,1,204,0,0
1,94,1193,81,25,20,1,2,1,1,2503,1,1
1,17,3600,12,12,16,1,1,1,1,17379,0,1
0,1,191,0,0,0,0,0,0,1,2456,0,0
1,12,621,79,18,16,1,27,1,1,868,1,1
0,0,44,1,0,0,0,0,0,0,73,0,0
0,0,10,0,0,0,0,0,0,0,64,0,0
1,22,2649,89,27,14,1,3,0,1,15774,1,1
1,19,11523,145,181,49,1,7,1,1,3757,1,1
1,54,534,53,42,11,0,7,1,1,1820,0,1
0,1,68,0,0,0,0,0,0,1,80,0,0
1,11,4140,331,11,4,1,2,1,1,1020,0,1
1,29,592,25,13,25,0,11,0,1,3145,0,1
1,14,420,80,18,20,0,7,0,1,273,1,1
0,0,2,0,0,0,0,0,0,0,72,0,0
0,0,17,0,0,3,0,1,0,1,665,0,0
1,20,2305,74,60,7,0,1,0,1,6852,1,1
1,13,556,41,39,5,0,5,1,1,521,1,1
1,68,740,101,16,25,1,3,1,1,5927,0,1
1,212,8418,208,48,14,1,9,1,1,9458,1,1
1,32,456,5,63,17,1,3,1,1,2808,1,1
1,9,329,0,15,10,1,2,1,1,630,0,1
1,5,587,186,3,5,0,1,1,1,230,1,1
0,0,2,0,0,0,0,0,0,1,63,0,0
0,1,68,0,0,0,0,0,0,1,80,0,0
1,6,924,74,8,8,1,1,1,1,10597,1,1
0,0,9,0,0,0,0,0,0,0,44,0,0
0,3,108,0,0,0,0,0,0,1,8125,0,0
1,275,5790,185,100,16,1,4,1,1,29722,1,1
1,209,1646,203,15,29,1,18,0,1,26895,1,1
1,83,1038,100,64,2,1,1,1,1,1598,1,1
0,2,198,0,0,0,0,0,0,1,869,0,0
0,0,20,0,0,0,0,0,0,0,207,0,0
1,1,271,6,3,14,0,4,0,1,102,0,1
1,29,498,6,11,6,1,4,1,1,688,0,1
1,3,157,8,1,7,0,2,1,1,255,1,1
1,51,3863,1,145,19,1,26,1,1,284,1,1
0,0,35,0,0,1,0,0,0,1,126,0,0
1,23,3088,89,22,13,1,3,1,1,14707,1,1
1,103,961,76,18,15,1,6,1,1,8047,0,1
1,8,233,5,10,0,0,1,0,1,962,1,1
1,73,4396,140,221,17,1,1,1,1,3968,1,1
1,53,895,54,16,48,1,18,1,1,8047,1,1
